pop,sex,family,l_1,w_1,a_1,bod_1,l_4,w_4,a_4,bod_4,l_7,w_7,a_7,bod_7,l_10,w_10,a_10,bod_10,l_13,w_13,a_13,bod_13
TdelFuego,f,139,1.5359096821,1.1318332213,1.0151723612,21.1372324643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TdelFuego,f,139,1.3508860606,0.9310097578,0.6842866431,15.7846068282,4.0590955341,3.0045603391,3.667190552,77.1314493269,7.9210221061,6.1369574543,9.9872537169,228.9296375447,15.0007287146,11.7378440268,27.1224880288,726.8448074316,23.1582313324,17.59511404,48.6578712164,1439.1915220287
TdelFuego,f,140,1.4689553837,1.3092689428,1.1495442768,23.5976155495,4.2564101267,3.9574451905,5.8056339747,125.6766300065,8.3421913611,7.560161599,15.1527149213,372.5227821951,15.4132506134,13.28287592,38.7393680738,1100.0323933278,23.901489425,19.1734694698,74.5568055196,2370.7018919814
TdelFuego,F,140,1.2682624871,0.7989467553,0.6048854985,14.4152916087,3.7453765755,2.972250704,3.4589300114,72.5464627347,7.4541101001,5.3579712839,8.1865577368,182.6873367083,13.908644322,11.2235332869,24.2715106348,638.9106749881,22.0492188636,18.3395034004,50.5452543792,1504.6475232184
TdelFuego,f,141,1.8739069439,1.8246224952,2.1470641945,42.955774618,5.4570021923,4.8738280768,10.1565701689,235.6928606014,10.2862500908,9.2138735025,25.7891737235,684.5888232402,NA,NA,NA,NA,NA,NA,NA,NA
TdelFuego,f,141,1.4637676529,1.1798711447,1.0306929523,21.960786895,4.5326807715,3.7493404476,5.53980921,120.7732749869,8.7523968981,7.7674301251,15.3070112833,375.1924817211,16.3092352127,14.686744122,42.1689395925,1213.6824324009,25.1869686636,23.3448607876,80.9832335732,2612.1932987605
TdelFuego,f,141,1.3549746352,1.3731325715,1.1810042929,25.2844044877,3.856970159,3.3142241359,5.0592445229,106.7080961304,7.6299000996,6.7314377019,14.4287909247,351.4211896145,14.3556037655,12.2404981032,36.6696090115,1031.7012263906,22.4878352016,18.0042414056,68.7469326672,2156.6485387864
TdelFuego,f,142,2.030650564,1.0292509867,1.2826291732,26.073694004,5.8382381594,3.4572390191,6.9481564361,154.0593790721,10.8585145887,7.6858145507,18.2881174605,459.6236085488,19.538090268,13.5593382222,45.4692508241,1329.6400359511,29.6842461578,20.1885710174,87.8590230096,2873.2534930044
TdelFuego,f,142,2.0142514668,1.4183745309,1.7095724577,34.8335846043,5.8896639823,4.3039447539,8.4986260669,193.6065433064,10.9438241663,8.9844067419,22.3199855314,579.7529477733,19.6880452817,16.1543375655,56.8685612093,1722.8380911636,30.0836465328,25.0214844464,112.0927639144,3826.6421472574
TdelFuego,f,142,1.1892026655,0.8443612145,0.4989532046,13.1192034344,3.817889874,3.1173578176,3.2556360018,66.1829392435,7.5578611609,6.628765947,8.6853746058,197.6096505984,NA,NA,NA,NA,NA,NA,NA,NA
TdelFuego,f,143,1.2581790125,0.8714155443,0.6695564698,15.0158718836,3.8625738839,2.2601506107,2.9314554249,61.1344160844,7.5753842662,5.2888865623,8.8324789789,199.8502387449,14.2638398457,10.8753982827,26.06421841,695.8409331567,22.465516952,18.1169031656,57.0362670444,1730.9094297835
